,text,likes,retweets,city,sentiment_analysis,url
0,Great news for @binance users - you van trade #ARV$ using @PancakeSwap 🤩 https://t.co/4eDslAvite,345,90,Bucharest,0.6249,https://t.co/4eDslAvite
1,"Happy to be welcomed for a trip of several days in Romania, which shares so much with France through its history and culture. With my colleague @SMuresan, vice-president of the @EPPGroup, we are working to bring our countries closer together in the face of the challenges that await us. https://t.co/LDB8e2lTsi",272,53,Bucharest,0.8402,https://t.co/LDB8e2lTsi
